batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
MC Juneja,125,134,11,1,7,17.86,93.28,50
BB Samantray,125,116,13,2,8,15.62,107.76,64
MM Sharma,124,137,9,4,28,4.43,90.51,60
B Lee,124,102,8,8,19,6.53,121.57,80
Harpreet Singh,123,119,10,3,8,15.38,103.36,58
AB McDonald,123,103,9,4,9,13.67,119.42,60
DL Vettori,121,118,11,2,16,7.56,102.54,56
NK Patel,121,124,14,1,6,20.17,97.58,62
TG Southee,120,108,8,4,19,6.32,111.11,56
AC Blizzard,120,91,21,2,7,17.14,131.87,96
Z Khan,117,141,11,2,27,4.33,82.98,56
Misbah-ul-Haq,117,82,10,6,8,14.62,142.68,76
RJ Harris,117,112,6,3,21,5.57,104.46,42
MW Short,117,99,15,4,6,19.5,118.18,84
KK Cooper,116,70,9,8,12,9.67,165.71,84
DJM Short,115,102,11,5,7,16.43,112.75,74
R Shepherd,115,68,7,10,9,12.78,169.12,88
Aman Hakim Khan,115,109,8,6,10,11.5,105.5,68
M Kartik,113,109,7,1,14,8.07,103.67,34
DJ Harris,111,103,11,5,4,27.75,107.77,74
Mohammed Siraj,109,122,10,4,20,5.45,89.34,64
LJ Wright,106,63,16,3,5,21.2,168.25,82
JDP Oram,106,110,6,5,11,9.64,96.36,54
SE Rutherford,106,107,3,8,9,11.78,99.07,60
MA Starc,105,109,11,0,16,6.56,96.33,44
DS Kulkarni,104,113,7,2,20,5.2,92.04,40
RJ Quiney,103,105,12,3,7,14.71,98.1,66
MS Gony,99,76,6,8,15,6.6,130.26,72
SD Chitnis,99,92,10,2,8,12.38,107.61,52
MJ Clarke,98,96,12,0,6,16.33,102.08,48
CJ Ferguson,98,119,9,0,8,12.25,82.35,36
PN Mankad,97,75,13,2,5,19.4,129.33,64
Arshad Khan,96,67,5,6,6,16.0,143.28,56
JDS Neesham,92,93,6,2,10,9.2,98.92,36
PR Shah,92,97,9,2,9,10.22,94.85,48
DJ Jacobs,92,101,10,4,7,13.14,91.09,64
RT Ponting,91,129,5,2,9,10.11,70.54,32
S Rana,91,82,9,1,8,11.38,110.98,42
AJ Tye,91,79,6,5,13,7.0,115.19,54
AD Nath,90,99,7,2,10,9.0,90.91,40
SL Malinga,88,103,6,5,20,4.4,85.44,54
Iqbal Abdulla,88,86,9,1,13,6.77,102.33,42
AP Majumdar,87,77,7,2,4,21.75,112.99,40
Ankit Sharma,87,69,7,4,10,8.7,126.09,52
MJ McClenaghan,85,73,5,7,20,4.25,116.44,62
